id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,country
7129300520,2014/10/13,221900,3,1,1180,5650,1,USA
6414100192,2014/10/14,538000,3,2.25,2570,7242,2,USA
5631500400,2014/10/15,180000,2,1,770,10000,1,USA
2487200875,2014/10/16,604000,4,3,1960,5000,1,USA
1954400510,2014/10/17,510000,3,2,1680,8080,1,USA
7237550310,2014/10/18,1225000,4,4.5,5420,101930,1,USA
1321400060,2014/10/19,257500,3,2.25,1715,6819,2,USA
2008000270,2014/10/20,291850,3,1.5,1060,9711,1,USA
2414600126,2014/10/21,229500,3,1,1780,7470,1,USA
3793500160,2014/10/22,323000,3,2.5,1890,6560,2,USA
1736800520,2014/10/23,662500,3,2.5,3560,9796,1,USA
9212900260,2014/10/24,468000,2,1,1160,6000,1,USA
114101516,2014/10/25,310000,3,1,1430,19901,1.5,USA
6054650070,2014/10/26,400000,3,1.75,1370,9680,1,USA
1175000570,2014/10/27,530000,5,2,1810,4850,1.5,USA
9297300055,2014/10/28,650000,4,3,2950,5000,2,USA
1875500060,2014/10/29,395000,3,2,1890,14040,2,USA
6865200140,2014/10/30,485000,4,1,1600,4300,1.5,USA
16000397,2014/10/31,189000,2,1,1200,9850,1,USA
7983200060,2014/11/1,230000,3,1,1250,9774,1,USA
6300500875,2014/11/2,385000,4,1.75,1620,4980,1,USA
2524049179,2014/11/3,2000000,3,2.75,3050,44867,1,USA
7137970340,2014/11/4,285000,5,2.5,2270,6300,2,USA
8091400200,2014/11/5,252700,2,1.5,1070,9643,1,USA
3814700200,2014/11/6,329000,3,2.25,2450,6500,2,USA
1202000200,2014/11/7,233000,3,2,1710,4697,1.5,USA
1794500383,2014/11/8,937000,3,1.75,2450,2691,2,USA
3303700376,2014/11/9,667000,3,1,1400,1581,1.5,USA
5101402488,2014/11/10,438000,3,1.75,1520,6380,1,USA
1873100390,2014/11/11,719000,4,2.5,2570,7173,2,USA
8562750320,2014/11/12,580500,3,2.5,2320,3980,2,USA
2426039314,2014/11/13,280000,2,1.5,1190,1265,3,USA
461000390,2014/11/14,687500,4,1.75,2330,5000,1.5,USA
7589200193,2014/11/15,535000,3,1,1090,3000,1.5,USA
7955080270,2014/11/16,322500,4,2.75,2060,6659,1,USA
9547205180,2014/11/17,696000,3,2.5,2300,3060,1.5,USA
9435300030,2014/11/18,550000,4,1,1660,34848,1,USA
2768000400,2014/11/19,640000,4,2,2360,6000,2,USA
7895500070,2014/11/20,240000,4,1,1220,8075,1,USA
2078500320,2014/11/21,605000,4,2.5,2620,7553,2,USA
5547700270,2014/11/22,625000,4,2.5,2570,5520,2,USA
7766200013,2014/11/23,775000,4,2.25,4220,24186,1,USA
7203220400,2014/11/24,861990,5,2.75,3595,5639,2,USA
9270200160,2014/11/25,685000,3,1,1570,2280,2,USA
1432701230,2014/11/26,309000,3,1,1280,9656,1,USA
8035350320,2014/11/27,488000,3,2.5,3160,13603,2,USA
8945200830,2014/11/28,210490,3,1,990,8528,1,USA
4178300310,2014/11/29,785000,4,2.5,2290,13416,2,USA
9215400105,2014/11/30,450000,3,1.75,1250,5963,1,USA
822039084,2014/12/1,1350000,3,2.5,2753,65005,1,USA
5245600105,2014/12/2,228000,3,1,1190,9199,1,USA
7231300125,2014/12/3,345000,5,2.5,3150,9134,1,USA
7518505990,2014/12/4,600000,3,1.75,1410,4080,1,USA
3626039271,2014/12/5,585000,2,1.75,1980,8550,1,USA
4217401195,2014/12/6,920000,5,2.25,2730,6000,1.5,USA
9822700295,2014/12/7,885000,4,2.5,2830,5000,2,USA
9478500640,2014/12/8,292500,4,2.5,2250,4495,2,USA
2799800710,2014/12/9,301000,3,2.5,2420,4750,2,USA
7922800400,2014/12/10,951000,5,3.25,3250,14342,2,USA
8079040320,2014/12/11,430000,4,3,1850,9976,2,USA
1516000055,2014/12/12,650000,3,2.25,2150,21235,1,USA
9558200045,2014/12/13,289000,3,1.75,1260,8400,1,USA
5072410070,2014/12/14,505000,3,1.75,2519,8690,2,USA
9528102996,2014/12/15,549000,3,1.75,1540,1044,3,USA
1189001180,2014/12/16,425000,3,2.25,1660,6000,1,USA
3253500160,2014/12/17,317625,3,2.75,2770,3809,1.5,USA
3394100030,2014/12/18,975000,4,2.5,2720,11049,2,USA
3717000160,2014/12/19,287000,4,2.5,2240,4648,2,USA
1274500060,2014/12/20,204000,3,1,1000,12070,1,USA
1802000060,2014/12/21,1325000,5,2.25,3200,20158,1,USA
1525059190,2014/12/22,1040000,5,3.25,4770,50094,1,USA
1049000060,2014/12/23,325000,3,2,1260,5612,1,USA
8820901275,2014/12/24,571000,4,2,2750,7807,1.5,USA
5416510140,2014/12/25,360000,4,2.5,2380,5000,2,USA
3444100400,2014/12/26,349000,3,1.75,1790,50529,1,USA
3276920270,2014/12/27,832500,4,4,3430,35102,2,USA
4036801170,2014/12/28,380000,4,1.75,1760,7300,1,USA
2391600320,2014/12/29,480000,3,1,1040,5060,1,USA
6300000287,2014/12/30,410000,3,1,1410,5060,1,USA
1531000030,2014/12/31,720000,4,2.5,3450,39683,2,USA
5104520400,2015/1/1,390000,3,2.5,2350,5100,2,USA
7437100340,2015/1/2,360000,4,2.5,1900,5889,2,USA
9418400240,2015/1/3,355000,2,1,2020,6720,1,USA
1523059105,2015/1/4,356000,3,1.5,1680,8712,1,USA
1133000671,2015/1/5,315000,3,1,960,6634,1,USA
4232902595,2015/1/6,940000,3,1.5,2140,3600,2,USA
2599001200,2015/1/7,305000,5,2.25,2660,8400,1.5,USA
3342103156,2015/1/8,461000,3,3.25,2770,6278,2,USA
1332700270,2015/1/9,215000,2,2.25,1610,2040,2,USA
3869900162,2015/1/10,335000,2,1.75,1030,1066,2,USA
2791500270,2015/1/11,243500,4,2.5,1980,7403,2,USA
5036300431,2015/1/12,1099880,5,2.75,3520,6353,2,USA
4168000060,2015/1/13,153000,3,1,1200,10500,1,USA
6021501535,2015/1/14,430000,3,1.5,1580,5000,1,USA
6021501535,2015/1/15,700000,3,1.5,1580,5000,1,USA
